"","w1","w2","w3","N"
"1","sstart","sstart","i",203
"2","sstart","sstart","you",75
"3","sstart","sstart","what",70
"4","sstart","sstart","i'm",69
"5","sstart","sstart","no",46
"6","sstart","sstart","hey",41
"7","sstart","i","don't",39
"8","sstart","sstart","so",38
"9","sstart","sstart","but",36
"10","sstart","sstart","well",33
"11","sstart","sstart","oh",33
"12","sstart","well","ccomma",32
"13","sstart","sstart","katara",32
"14","sstart","sstart","that's",32
"15","sstart","sstart","it's",30
"16","it","pperiod","eend",30
"17","i","don't","know",29
"18","me","pperiod","eend",29
"19","sstart","sstart","sokka",28
"20","sstart","sstart","this",27
"21","sstart","sstart","we",26
"22","sstart","i","can't",25
"23","sstart","hey","ccomma",25
"24","sstart","no","ccomma",25
"25","i","need","to",24
"26","sstart","sstart","the",24
"27","sstart","sstart","okay",22
"28","the","fire","nation",22
"29","sstart","sstart","thanks",22
"30","sstart","sstart","appa",21
"31","sstart","what","qquestion",21
"32","sstart","katara","ccomma",20
"33","sstart","sstart","i'll",20
"34","here","pperiod","eend",20
"35","sstart","sstart","yeah",20
"36","sstart","sstart","don't",19
"37","you","pperiod","eend",19
"38","sstart","so","ccomma",18
"39","sstart","sstart","come",18
"40","ccomma","but","i",18
"41","sstart","sstart","you're",17
"42","the","fire","lord",17
"43","me","qquestion","eend",16
"44","sstart","appa","eexclamation",16
"45","that","pperiod","eend",16
"46","you","qquestion","eend",16
"47","sstart","sstart","yeh",16
"48","sstart","i","know",16
"49","sstart","sstart","how",16
"50","sstart","sstart","why",16
"51","sstart","come","on",15
"52","sstart","sstart","sorry",15
"53","sstart","oh","ccomma",15
"54","it","qquestion","eend",15
"55","sstart","sokka","ccomma",15
"56","katara","pperiod","eend",15
"57","sstart","this","is",14
"58","sstart","sstart","uh",14
"59","that","qquestion","eend",14
"60","sstart","i'm","sorry",14
"61","ccomma","sokka","pperiod",14
"62","sstart","sstart","what's",13
"63","sstart","okay","ccomma",13
"64","sstart","sstart","a",13
"65","i","can't","believe",13
"66","ccomma","i","don't",13
"67","sstart","sstart","wait",13
"68","ccomma","katara","pperiod",13
"69","what","do","you",13
"70","i","have","to",13
"71","the","avatar","state",13
"72","yip","eexclamation","eend",12
"73","sstart","sstart","wow",12
"74","sstart","yeh","ccomma",12
"75","sstart","sstart","it",12
"76","appa","eexclamation","eend",12
"77","don't","know","pperiod",12
"78","sstart","sstart","just",12
"79","sstart","sstart","momo",12
"80","i'm","going","to",12
"81","me","eexclamation","eend",12
"82","this","pperiod","eend",12
"83","sstart","yeah","ccomma",12
"84","sstart","sstart","where",12
"85","do","you","think",12
"86","sstart","i'm","not",11
"87","sstart","sstart","not",11
"88","what","are","you",11
"89","sstart","sstart","good",11
"90","sstart","sstart","maybe",11
"91","sstart","sstart","is",11
"92","sstart","sstart","please",10
"93","sstart","don't","worry",10
"94","come","on","ccomma",10
"95","sokka","pperiod","eend",10
"96","sstart","sstart","and",10
"97","sstart","sstart","look",10
"98","the","avatar","pperiod",10
"99","sstart","sstart","then",10
"100","i","don't","think",10
"101","pperiod","i","don't",10
"102","sstart","sstart","zuko",10
"103","fire","lord","pperiod",10
"104","sstart","sstart","sure",9
"105","sstart","sstart","uhh",9
"106","sstart","sstart","if",9
"107","huh","qquestion","eend",9
"108","here","eexclamation","eend",9
"109","sstart","sstart","there",9
"110","sstart","sstart","who",9
"111","back","eexclamation","eend",9
"112","i'm","the","avatar",9
"113","you","eexclamation","eend",9
"114","sstart","sstart","let's",9
"115","what","qquestion","eend",9
"116","well","ccomma","i",9
"117","pperiod","i","need",9
"118","are","you","doing",9
"119","sstart","is","that",9
"120","sstart","sstart","there's",9
"121","way","pperiod","eend",9
"122","sstart","sstart","that",9
"123","out","of","here",9
"124","i","can't","pperiod",9
"125","sstart","i","guess",9
"126","qquestion","eexclamation","eend",9
"127","ccomma","buddy","pperiod",8
"128","out","pperiod","eend",8
"129","fire","nation","pperiod",8
"130","a","hundred","years",8
"131","sstart","sstart","huh",8
"132","sstart","sstart","my",8
"133","sstart","sstart","nice",8
"134","sstart","sstart","hello",8
"135","going","to","be",8
"136","ccomma","i","know",8
"137","know","how","to",8
"138","pperiod","i","can't",8
"139","pperiod","i","was",8
"140","it","eexclamation","eend",8
"141","ccomma","i","think",8
"142","pperiod","i","know",8
"143","sstart","sstart","thank",8
"144","sstart","thank","you",8
"145","him","pperiod","eend",8
"146","have","to","do",8
"147","to","talk","to",8
"148","sstart","wait","ccomma",8
"149","eexclamation","qquestion","eend",8
"150","sstart","you","know",8
"151","again","pperiod","eend",8
"152","there","pperiod","eend",8
"153","sstart","wow","ccomma",8
"154","pperiod","you","have",8
"155","i'm","sorry","ccomma",8
"156","we","need","to",8
"157","lord","pperiod","eend",8
"158","no","ccomma","no",8
"159","ba","sing","se",8
"160","sstart","i","need",7
"161","here","qquestion","eend",7
"162","yip","yip","eexclamation",7
"163","sstart","sstart","aaahhh",7
"164","sstart","aaahhh","eexclamation",7
"165","ccomma","right","qquestion",7
"166","sstart","huh","qquestion",7
"167","too","pperiod","eend",7
"168","sstart","sstart","all",7
"169","sstart","sokka","eexclamation",7
"170","sstart","sstart","great",7
"171","go","pperiod","eend",7
"172","sstart","you","don't",7
"173","now","pperiod","eend",7
"174","sstart","sstart","now",7
"175","sstart","sstart","actually",7
"176","sstart","katara","eexclamation",7
"177","sstart","sstart","yes",7
"178","sstart","you","guys",7
"179","sstart","i","ppause",7
"180","sstart","sstart","guys",7
"181","sstart","thanks","pperiod",7
"182","sokka","qquestion","eend",7
"183","sstart","i","have",7
"184","ccomma","i","guess",7
"185","now","qquestion","eend",7
"186","what","if","i",7
"187","to","do","this",7
"188","get","out","of",7
"189","sstart","what","are",7
"190","up","pperiod","eend",7
"191","sstart","i","think",7
"192","sstart","i","was",7
"193","sstart","what","do",7
"194","sstart","sstart","we'll",7
"195","sstart","uh","ccomma",7
"196","i","can't","do",7
"197","sstart","where","are",7
"198","pperiod","ms","pperiod",7
"199","sstart","sstart","ok",7
