"","w1","w2","w3","N"
"1","sstart","sstart","i",26
"2","sstart","sstart","you",19
"3","ccomma","prince","zuko",17
"4","prince","zuko","ccomma",16
"5","sstart","sstart","no",14
"6","sstart","sstart","i'm",13
"7","the","fire","nation",11
"8","sstart","sstart","zuko",11
"9","sstart","sstart","what",10
"10","sstart","no","ccomma",9
"11","the","fire","lord",9
"12","sstart","sstart","it's",9
"13","prince","zuko","pperiod",8
"14","sstart","sstart","yes",8
"15","you","pperiod","eend",8
"16","sstart","sstart","prince",7
"17","sstart","prince","zuko",7
"18","sstart","sstart","the",7
"19","sstart","sstart","it",6
"20","sstart","yes","ccomma",5
"21","sstart","sstart","so",5
"22","sstart","sstart","uh",5
"23","ba","ddash","sing",5
"24","ddash","sing","ddash",5
"25","sing","ddash","se",5
"26","sstart","sstart","you're",5
"27","sstart","it","is",5
"28","sstart","zuko","ccomma",5
"29","ba","sing","se",5
"30","pperiod","it","is",5
"31","sstart","sstart","very",4
"32","sstart","sstart","my",4
"33","here","pperiod","eend",4
"34","sstart","sstart","there",4
"35","ccomma","but","it",4
"36","sstart","sstart","where",4
"37","there","is","a",4
"38","sstart","uh","ccomma",4
"39","the","avatar","pperiod",4
"40","sstart","sstart","he",4
"41","sstart","sstart","but",4
"42","fire","nation","pperiod",4
"43","sstart","sstart","oh",4
"44","is","the","element",4
"45","the","element","of",4
"46","soldier","boy","ccomma",4
"47","marching","home","pperiod",4
"48","it","pperiod","eend",4
"49","pperiod","why","don't",3
"50","why","don't","you",3
"51","tea","qquestion","eend",3
"52","i'm","going","to",3
"53","zuko","ccomma","you",3
"54","again","pperiod","eend",3
"55","pperiod","the","energy",3
"56","sstart","very","well",3
"57","very","well","pperiod",3
"58","sstart","sstart","hey",3
"59","fire","lord","pperiod",3
"60","ccomma","i","will",3
"61","pperiod","it","was",3
"62","sstart","sstart","remember",3
"63","pperiod","they","are",3
"64","sstart","sstart","even",3
"65","ccomma","there","is",3
"66","like","it","pperiod",3
"67","down","pperiod","eend",3
"68","you","should","take",3
"69","well","pperiod","eend",3
"70","se","pperiod","eend",3
"71","sstart","sstart","that's",3
"72","sstart","sstart","excellent",3
"73","zuko","pperiod","eend",3
"74","there","is","nothing",3
"75","avatar","pperiod","eend",3
"76","it","is","a",3
"77","sstart","sstart","this",3
"78","sstart","there","is",3
"79","ccomma","the","fire",3
"80","capture","the","avatar",3
"81","pperiod","cut","to",3
"82","sstart","zuko","eexclamation",3
"83","sstart","sstart","if",3
"84","sstart","sstart","and",3
"85","that","you","are",3
"86","you","are","not",3
"87","rest","pperiod","eend",3
"88","the","earth","kingdom",3
"89","from","the","fire",3
"90","sstart","sstart","thank",3
"91","sstart","thank","you",3
"92","sstart","sstart","hmm",3
"93","sstart","hmm","ppause",3
"94","sstart","you","did",3
"95","my","nephew","pperiod",3
"96","sstart","i","know",3
"97","pperiod","it's","time",3
"98","sstart","i","was",3
"99","pperiod","the","people",3
"100","the","people","of",3
"101","people","of","the",3
"102","pperiod","i","think",3
"103","friend","pperiod","eend",3
"104","sstart","so","ccomma",3
"105","sstart","sstart","with",3
