"","w1","w2","w3","N"
"1","sstart","sstart","i",130
"2","sstart","sstart","aang",99
"3","sstart","aang","ccomma",64
"4","sstart","sstart","you",59
"5","sstart","sstart","what",57
"6","sstart","sstart","it's",43
"7","sstart","sstart","no",42
"8","sstart","sstart","sokka",41
"9","sstart","sstart","well",39
"10","sstart","sstart","i'm",38
"11","sstart","well","ccomma",31
"12","sstart","sstart","but",30
"13","sstart","sstart","you're",29
"14","sstart","sstart","that's",29
"15","you","pperiod","eend",28
"16","sstart","sstart","oh",26
"17","sstart","sstart","the",26
"18","ccomma","aang","pperiod",25
"19","sstart","sstart","we",24
"20","sstart","sokka","ccomma",23
"21","sstart","sstart","so",23
"22","sstart","sstart","why",23
"23","sstart","sstart","hey",22
"24","sstart","sstart","this",21
"25","aang","pperiod","eend",20
"26","sstart","i","don't",20
"27","sstart","no","ccomma",19
"28","the","fire","nation",19
"29","ccomma","sokka","pperiod",18
"30","get","out","of",18
"31","sstart","i","know",18
"32","i","don't","know",17
"33","out","of","here",17
"34","sstart","sstart","how",16
"35","what","are","you",16
"36","we","have","to",15
"37","sstart","oh","ccomma",15
"38","here","pperiod","eend",15
"39","that","qquestion","eend",14
"40","me","pperiod","eend",14
"41","sstart","sstart","maybe",14
"42","sstart","sstart","and",14
"43","sstart","sstart","we're",14
"44","sstart","i","can't",14
"45","sstart","i","think",13
"46","aang","eexclamation","eend",13
"47","sstart","sstart","what's",13
"48","i","can't","believe",13
"49","help","pperiod","eend",12
"50","sstart","sstart","okay",12
"51","aang","qquestion","eend",12
"52","him","pperiod","eend",12
"53","sstart","this","is",12
"54","sstart","sstart","it",12
"55","we","need","to",12
"56","sstart","aang","eexclamation",11
"57","sstart","sstart","that",11
"58","sstart","i'm","sorry",11
"59","sstart","so","ccomma",11
"60","sstart","sokka","eexclamation",11
"61","sokka","eexclamation","eend",11
"62","are","you","doing",11
"63","sstart","sstart","yes",11
"64","sokka","pperiod","eend",11
"65","sstart","sstart","don't",11
"66","it","eexclamation","eend",10
"67","sstart","what","qquestion",10
"68","it","qquestion","eend",10
"69","the","north","pole",10
"70","aang","ccomma","i",10
"71","sstart","what","are",10
"72","sstart","sstart","he",10
"73","what","do","you",10
"74","know","pperiod","eend",10
"75","sstart","sstart","wait",10
"76","sstart","sstart","i'll",10
"77","sstart","you","know",10
"78","sstart","sstart","are",9
"79","sstart","are","you",9
"80","come","on","ccomma",9
"81","this","pperiod","eend",9
"82","sstart","sstart","come",9
"83","no","eexclamation","eend",9
"84","you","need","to",9
"85","way","pperiod","eend",9
"86","sstart","sstart","yeah",9
"87","you","doing","qquestion",9
"88","sstart","sstart","thanks",9
"89","that","pperiod","eend",9
"90","pperiod","i","don't",9
"91","sstart","sstart","look",9
"92","you","qquestion","eend",9
"93","sstart","sstart","let's",9
"94","us","pperiod","eend",9
"95","it","pperiod","eend",9
"96","sstart","it's","not",8
"97","sstart","sstart","he's",8
"98","sstart","i","guess",8
"99","sstart","aang","qquestion",8
"100","sstart","okay","ccomma",8
"101","sstart","come","on",8
"102","sstart","sstart","there's",8
"103","sstart","hey","ccomma",8
"104","sstart","sstart","wow",8
"105","sstart","sstart","is",8
"106","here","eexclamation","eend",8
"107","sstart","sstart","they",8
"108","i","know","pperiod",8
"109","ccomma","what","are",8
"110","sstart","no","eexclamation",8
"111","a","lot","of",8
"112","ccomma","and","i",8
"113","the","avatar","pperiod",7
"114","ccomma","this","is",7
"115","sstart","sstart","then",7
"116","ccomma","i","know",7
"117","well","ccomma","i",7
"118","fire","nation","pperiod",7
"119","sstart","sstart","if",7
"120","sstart","what","do",7
"121","sstart","sstart","zuko",7
"122","aang","ccomma","what",7
"123","to","get","out",7
"124","do","you","think",7
"125","gran","ddash","gran",7
"126","you","eexclamation","eend",7
"127","i","don't","think",7
"128","ccomma","i","think",7
"129","i","think","we",7
"130","you","have","to",7
"131","ba","sing","se",7
"132","look","eexclamation","eend",6
"133","to","help","pperiod",6
"134","what","qquestion","eend",6
"135","sstart","what","is",6
"136","sstart","sstart","uh",6
"137","ccomma","i'm","sure",6
"138","to","meet","you",6
"139","pole","pperiod","eend",6
"140","sstart","sstart","a",6
"141","of","here","pperiod",6
"142","fun","pperiod","eend",6
"143","to","the","north",6
"144","sstart","sstart","where",6
"145","ccomma","aang","eexclamation",6
"146","pperiod","i","know",6
"147","ccomma","but","we",6
"148","sstart","sstart","who",6
"149","sstart","what","happened",6
"150","now","pperiod","eend",6
"151","there","pperiod","eend",6
"152","i","wanted","to",6
"153","sstart","yes","ccomma",6
"154","sstart","sstart","hi",6
"155","north","pole","pperiod",6
"156","okay","pperiod","eend",6
"157","the","spirit","world",6
"158","sstart","you're","right",6
"159","it","looks","like",6
"160","on","pperiod","eend",6
"161","me","eexclamation","eend",6
"162","of","here","eexclamation",6
"163","sstart","sstart","really",6
"164","pperiod","i","think",6
"165","sstart","sstart","i've",6
"166","too","pperiod","eend",6
"167","sstart","sstart","sorry",6
"168","ccomma","but","ppause",6
"169","sstart","sstart","ugh",5
"170","eexclamation","aang","ccomma",5
"171","pperiod","come","on",5
"172","meet","you","pperiod",5
"173","this","is","the",5
