"","w1","w2","w3","N"
"1","sstart","sstart","i",129
"2","sstart","sstart","what",62
"3","sstart","sstart","you",58
"4","sstart","sstart","no",46
"5","sstart","sstart","oh",45
"6","sstart","sstart","hey",45
"7","sstart","sstart","it's",37
"8","the","fire","nation",37
"9","sstart","sstart","we",37
"10","sstart","sstart","well",35
"11","sstart","well","ccomma",34
"12","sstart","sstart","i'm",33
"13","sstart","hey","ccomma",33
"14","sstart","sstart","so",32
"15","sstart","sstart","that's",27
"16","sstart","sstart","this",27
"17","sstart","sstart","yeah",26
"18","it","pperiod","eend",26
"19","sstart","sstart","katara",25
"20","sstart","no","ccomma",25
"21","sstart","sstart","aang",24
"22","sstart","sstart","the",24
"23","sstart","oh","ccomma",23
"24","here","pperiod","eend",23
"25","we","need","to",20
"26","sstart","sstart","okay",19
"27","sstart","what","qquestion",19
"28","the","fire","lord",19
"29","sstart","yeah","ccomma",17
"30","sstart","sstart","you're",17
"31","sstart","sstart","and",17
"32","sstart","sstart","why",17
"33","sstart","sstart","but",17
"34","sstart","aang","ccomma",16
"35","sstart","this","is",16
"36","sstart","i","don't",15
"37","come","on","ccomma",15
"38","you","pperiod","eend",15
"39","sstart","sstart","it",15
"40","you","know","ccomma",14
"41","out","of","here",14
"42","sstart","sstart","yeh",14
"43","sstart","i","think",14
"44","sstart","i","know",14
"45","sstart","sstart","look",14
"46","sstart","okay","ccomma",13
"47","you","qquestion","eend",13
"48","get","out","of",13
"49","sstart","katara","ccomma",13
"50","sstart","sstart","wait",13
"51","time","pperiod","eend",13
"52","sstart","sstart","if",13
"53","sstart","yeh","ccomma",12
"54","that","pperiod","eend",12
"55","that","qquestion","eend",12
"56","sstart","sstart","not",12
"57","sstart","sstart","are",12
"58","sstart","are","you",12
"59","sstart","sstart","there's",12
"60","sstart","sstart","how",12
"61","right","qquestion","eend",11
"62","sstart","sstart","where",11
"63","sstart","sstart","that",11
"64","sstart","sstart","he",11
"65","sstart","sstart","then",11
"66","sstart","sstart","maybe",11
"67","sstart","look","ccomma",11
"68","sstart","sstart","he's",10
"69","him","pperiod","eend",10
"70","me","pperiod","eend",10
"71","what","do","you",10
"72","sstart","sstart","see",10
"73","sstart","sstart","what's",10
"74","ccomma","this","is",10
"75","there","pperiod","eend",10
"76","sstart","sstart","my",9
"77","sstart","sstart","now",9
"78","ccomma","right","qquestion",9
"79","me","qquestion","eend",9
"80","it","eexclamation","eend",9
"81","sstart","sstart","come",9
"82","sstart","sstart","do",9
"83","eexclamation","qquestion","eend",9
"84","do","you","mean",9
"85","i","don't","know",9
"86","what","are","you",9
"87","sstart","i","can't",9
"88","again","pperiod","eend",9
"89","the","earth","king",9
"90","ba","sing","se",9
"91","qquestion","eexclamation","eend",9
"92","sstart","sstart","uh",8
"93","sstart","katara","eexclamation",8
"94","sstart","you","know",8
"95","of","here","pperiod",8
"96","do","you","think",8
"97","man","eexclamation","eend",8
"98","sstart","so","ccomma",8
"99","you","eexclamation","eend",8
"100","sstart","aang","eexclamation",8
"101","me","eexclamation","eend",8
"102","sstart","sstart","we're",8
"103","sstart","sstart","good",8
"104","sstart","what","do",8
"105","i","think","i",8
"106","sstart","come","on",8
"107","sstart","sstart","there",8
"108","sorry","pperiod","eend",8
"109","sstart","sstart","dad",8
"110","sstart","sstart","a",8
"111","fire","nation","pperiod",8
"112","us","pperiod","eend",8
"113","are","you","doing",8
"114","sstart","sstart","right",7
"115","this","pperiod","eend",7
"116","sstart","sstart","great",7
"117","on","pperiod","eend",7
"118","way","pperiod","eend",7
"119","well","ccomma","i",7
"120","sstart","hey","eexclamation",7
"121","sstart","i","guess",7
"122","sstart","sstart","of",7
"123","sstart","of","course",7
"124","here","qquestion","eend",7
"125","sstart","do","you",7
"126","do","qquestion","eend",7
"127","sstart","sstart","we'll",7
"128","ccomma","aang","pperiod",7
"129","sstart","sstart","is",7
"130","sstart","i'm","not",7
"131","we","have","a",7
"132","sstart","sstart","nothing",7
"133","got","it","pperiod",7
"134","i","can't","believe",7
"135","sstart","sstart","yes",7
"136","ccomma","but","i",7
"137","sstart","it's","a",7
"138","this","is","the",7
"139","sstart","oh","no",7
"140","ccomma","i","think",7
"141","sstart","sstart","zuko",7
"142","pperiod","we","need",7
"143","ccomma","come","on",7
"144","i","don't","think",7
"145","sstart","sstart","ugh",6
"146","down","eexclamation","eend",6
"147","sstart","sstart","stop",6
"148","eexclamation","katara","ccomma",6
"149","sstart","sstart","go",6
"150","sstart","i'm","just",6
"151","sstart","sstart","aaahhh",6
"152","sstart","aaahhh","eexclamation",6
"153","i'm","trying","to",6
"154","out","pperiod","eend",6
"155","ccomma","aang","ccomma",6
"156","i","was","just",6
"157","there's","no","way",6
"158","sstart","sstart","sorry",6
"159","you","guys","are",6
"160","get","it","pperiod",6
"161","sstart","sstart","fire",6
"162","sstart","sstart","i'll",6
"163","him","qquestion","eend",6
"164","ccomma","and","the",6
"165","aang","pperiod","eend",6
"166","ccomma","huh","qquestion",6
"167","ccomma","it","was",6
"168","sstart","sstart","sure",6
"169","ccomma","are","you",6
"170","one","pperiod","eend",6
"171","we","have","to",6
"172","sstart","sstart","fine",6
"173","what","qquestion","eend",6
"174","have","to","do",6
"175","i","know","ccomma",6
"176","pperiod","if","we",6
"177","pperiod","we","have",6
"178","ccomma","you","know",6
"179","doing","qquestion","eend",6
"180","go","pperiod","eend",6
"181","sstart","sstart","thank",6
"182","a","lot","of",6
"183","it","looks","like",6
"184","sstart","sstart","actually",6
"185","sstart","actually","ccomma",6
"186","pperiod","i","don't",6
"187","to","be","a",6
"188","you","doing","qquestion",6
"189","sstart","sstart","toph",6
"190","sstart","sstart","suki",6
"191","i","have","to",6
"192","pperiod","this","is",5
"193","sstart","ugh","eexclamation",5
"194","sstart","what","is",5
"195","sstart","sstart","don't",5
"196","sstart","sstart","wow",5
"197","sstart","no","eexclamation",5
"198","him","eexclamation","eend",5
"199","sstart","sstart","get",5
"200","now","eexclamation","eend",5
"201","yeh","ccomma","i",5
"202","sstart","sstart","hi",5
"203","sstart","sstart","whatever",5
"204","i","mean","ccomma",5
"205","sstart","sstart","ha",5
"206","sstart","sstart","yip",5
"207","aaahhh","eexclamation","eend",5
"208","sstart","wait","eexclamation",5
"209","aang","eexclamation","eend",5
"210","sstart","sstart","who",5
"211","us","qquestion","eend",5
"212","sstart","sstart","they",5
"213","suki","pperiod","eend",5
"214","sstart","sstart","please",5
"215","sstart","i","got",5
"216","king","pperiod","eend",5
"217","come","on","eexclamation",5
"218","i","got","it",5
"219","too","pperiod","eend",5
"220","sstart","sstart","everyone",5
"221","sstart","i","thought",5
"222","sstart","that's","it",5
"223","ccomma","we","need",5
"224","alone","pperiod","eend",5
"225","sstart","it","doesn't",5
"226","here","eexclamation","eend",5
"227","it","qquestion","eend",5
"228","something","pperiod","eend",5
"229","this","qquestion","eend",5
"230","water","tribe","pperiod",5
"231","sstart","but","we",5
"232","i","know","you",5
"233","the","earth","kingdom",5
"234","sstart","i","do",5
"235","sstart","sstart","ppause",5
"236","why","don't","you",5
"237","are","you","sure",5
"238","go","eexclamation","eend",5
"239","appa","pperiod","eend",5
"240","it","would","be",5
"241","them","pperiod","eend",5
"242","you","have","to",5
"243","you","want","to",5
"244","ccomma","we","have",5
"245","sstart","yes","eexclamation",5
"246","is","pperiod","eend",5
"247","came","up","with",5
"248","sstart","sstart","when",5
"249","the","north","pole",5
"250","dad","pperiod","eend",5
"251","sstart","sstart","thanks",5
"252","fire","nation","ccomma",5
"253","ccomma","it's","a",5
"254","pperiod","i","just",5
"255","ccomma","no","ccomma",5
"256","ccomma","and","i",5
"257","need","to","do",5
"258","fire","lord","pperiod",5
"259","look","ccomma","i",5
"260","sstart","sstart","just",5
"261","sstart","what","are",5
"262","ccomma","i","guess",5
"263","sstart","i","have",5
"264","all","over","the",5
"265","over","the","world",5
"266","about","that","pperiod",5
"267","a","solar","eclipse",5
"268","sstart","toph","ccomma",5
"269","idea","pperiod","eend",5
"270","get","to","the",5
"271","sstart","i","was",5
"272","sstart","my","dad",5
"273","sstart","no","pperiod",5
"274","sstart","zuko","ccomma",5
"275","sstart","it's","not",4
"276","this","time","pperiod",4
"277","pperiod","look","ccomma",4
"278","look","ccomma","i'm",4
"279","ccomma","i'm","just",4
"280","sstart","you","don't",4
"281","up","pperiod","eend",4
"282","sstart","right","pperiod",4
"283","eexclamation","eexclamation","eend",4
"284","oh","ccomma","no",4
"285","in","the","water",4
"286","the","water","tribe",4
"287","sstart","sstart","listen",4
"288","go","qquestion","eend",4
"289","we","don't","have",4
"290","you","think","you're",4
"291","sstart","sstart","let's",4
"292","sstart","whatever","pperiod",4
"293","got","it","eexclamation",4
"294","i'm","just","a",4
"295","ccomma","uh","ccomma",4
"296","sstart","sstart","who's",4
"297","aang","ccomma","you",4
"298","aang","ccomma","i",4
"299","sstart","sstart","can't",4
"300","ccomma","do","you",4
"301","are","you","kidding",4
"302","work","pperiod","eend",4
"303","pperiod","i'm","not",4
"304","pperiod","i","was",4
"305","sstart","oh","ppause",4
"306","sstart","i'm","sorry",4
"307","sstart","sstart","hmm",4
"308","hey","ccomma","i'm",4
"309","sstart","sstart","nice",4
"310","sstart","if","you",4
"311","sstart","sstart","ah",4
"312","on","eexclamation","eend",4
"313","sstart","sstart","we've",4
"314","sstart","we've","got",4
"315","some","kind","of",4
"316","fire","nation","eexclamation",4
"317","ccomma","katara","ccomma",4
"318","what","did","you",4
"319","we've","got","to",4
"320","pperiod","come","on",4
"321","back","pperiod","eend",4
"322","out","of","this",4
"323","maybe","we","can",4
"324","it's","just","a",4
"325","the","avatar","pperiod",4
"326","sstart","we","need",4
"327","about","it","pperiod",4
"328","run","eexclamation","eend",4
"329","sstart","sstart","shh",4
"330","right","pperiod","eend",4
"331","back","to","the",4
"332","pperiod","the","fire",4
"333","sstart","why","don't",4
"334","be","able","to",4
"335","katara","ccomma","what",4
"336","ccomma","what","are",4
"337","don't","have","to",4
"338","sstart","sstart","seriously",4
"339","sstart","seriously","ccomma",4
"340","sstart","sstart","take",4
"341","eexclamation","this","is",4
"342","sstart","it","would",4
"343","sstart","sstart","looks",4
"344","sstart","looks","like",4
"345","ccomma","let's","get",4
"346","i","am","pperiod",4
"347","ccomma","i've","been",4
"348","all","the","way",4
"349","this","is","a",4
"350","dad","eexclamation","eend",4
"351","sstart","we","can",4
"352","right","now","ccomma",4
"353","this","is","bad",4
"354","a","fire","nation",4
"355","you","do","qquestion",4
"356","did","pperiod","eend",4
"357","to","do","that",4
"358","do","that","qquestion",4
"359","sstart","wait","ccomma",4
"360","sstart","thank","you",4
"361","sstart","see","ccomma",4
"362","oh","no","eexclamation",4
"363","time","eexclamation","eend",4
"364","no","ccomma","it's",4
"365","sstart","nothing","pperiod",4
"366","look","eexclamation","eend",4
"367","no","pperiod","eend",4
"368","be","fine","pperiod",4
"369","fine","pperiod","eend",4
"370","no","eexclamation","eend",4
"371","lord","pperiod","eend",4
"372","to","get","to",4
"373","all","we","need",4
"374","sstart","i'm","gonna",4
"375","how","did","you",4
"376","sstart","sstart","really",4
"377","sstart","really","qquestion",4
"378","around","pperiod","eend",4
"379","look","ccomma","we",4
"380","on","ccomma","come",4
"381","to","the","fire",4
"382","for","me","pperiod",4
"383","pperiod","aang","ccomma",4
"384","fire","nation","qquestion",4
"385","sstart","uh","ccomma",4
"386","to","the","earth",4
"387","sing","se","pperiod",4
"388","be","pperiod","eend",4
"389","to","ba","sing",4
"390","sstart","sstart","alright",4
"391","the","serpent's","pass",4
"392","sstart","suki","ccomma",4
"393","up","with","a",4
"394","team","avatar","pperiod",4
"395","about","the","war",4
"396","hey","ccomma","i",4
"397","an","idea","pperiod",4
"398","this","is","it",4
"399","ccomma","toph","pperiod",4
"400","my","dad","pperiod",4
"401","pperiod","i","have",4
"402","ccomma","katara","pperiod",3
"403","ccomma","yeah","ccomma",3
"404","sstart","i","knew",3
"405","sstart","uh","ppause",3
"406","katara","qquestion","eend",3
"407","don't","know","what",3
"408","is","eexclamation","eend",3
"409","sstart","sstart","ahh",3
"410","ugh","eexclamation","eend",3
"411","the","fire","navy",3
"412","sstart","you","just",3
"413","ppause","i","think",3
"414","i","am","not",3
"415","monster","pperiod","eend",3
"416","ccomma","i","thought",3
"417","sstart","sstart","all",3
"418","sstart","all","right",3
"419","with","me","qquestion",3
"420","we're","going","to",3
"421","whatever","pperiod","eend",3
"422","sstart","yeah","ppause",3
"423","me","out","of",3
"424","sstart","what","was",3
"425","sstart","yip","yip",3
"426","yip","eexclamation","eend",3
"427","like","that","pperiod",3
"428","eexclamation","get","it",3
"429","good","pperiod","eend",3
"430","how","do","you",3
"431","forever","pperiod","eend",3
"432","ccomma","okay","qquestion",3
"433","qquestion","oh","ccomma",3
"434","you","need","to",3
"435","you","kidding","qquestion",3
"436","ccomma","there's","no",3
"437","a","bunch","of",3
"438","down","pperiod","eend",3
"439","pperiod","i","mean",3
"440","ppause","i","ppause",3
"441","all","right","ccomma",3
"442","be","a","little",3
"443","ccomma","i","was",3
"444","see","if","you",3
"445","if","you","can",3
"446","this","eexclamation","eend",3
"447","ccomma","let","me",3
"448","i'm","starting","to",3
"449","ccomma","i'm","not",3
"450","ppause","oh","ccomma",3
"451","sstart","sstart","eh",3
"452","sstart","eh","ccomma",3
"453","did","you","do",3
"454","night","pperiod","eend",3
"455","gone","pperiod","eend",3
"456","i","thought","you",3
"457","to","do","is",3
"458","going","down","eexclamation",3
"459","sstart","sstart","momo",3
"460","sstart","momo","ccomma",3
"461","sstart","sstart","your",3
"462","got","to","get",3
"463","sstart","we","don't",3
"464","don't","have","much",3
"465","have","much","time",3
"466","on","ccomma","we",3
"467","what","are","we",3
"468","with","him","qquestion",3
"469","pperiod","we're","gonna",3
"470","back","ccomma","i'm",3
"471","try","pperiod","eend",3
"472","what","qquestion","i'm",3
"473","a","hundred","years",3
"474","hundred","years","ago",3
"475","to","talk","to",3
"476","sstart","this","isn't",3
"477","sstart","what","happened",3
