"","w1","w2","w3","N"
"1","sstart","sstart","i",60
"2","sstart","sstart","you",25
"3","sstart","sstart","yeah",21
"4","sstart","yeah","ccomma",14
"5","sstart","sstart","well",14
"6","sstart","sstart","no",14
"7","sstart","sstart","hey",13
"8","sstart","i","don't",12
"9","sstart","well","ccomma",12
"10","sstart","sstart","oh",12
"11","it","pperiod","eend",12
"12","sstart","sstart","it's",12
"13","sstart","sstart","what",11
"14","me","pperiod","eend",11
"15","sstart","sstart","i'm",11
"16","sstart","sstart","how",9
"17","sstart","hey","ccomma",9
"18","i","don't","know",9
"19","sstart","sstart","so",8
"20","sstart","no","ccomma",8
"21","sstart","sstart","this",8
"22","sstart","sstart","what's",7
"23","i","can","feel",7
"24","sstart","sstart","katara",7
"25","sstart","sstart","and",7
"26","sstart","i","can",7
"27","sstart","sstart","you're",7
"28","here","pperiod","eend",7
"29","sstart","sstart","the",7
"30","sstart","sstart","that's",7
"31","sstart","sstart","it",6
"32","sstart","katara","ccomma",6
"33","sstart","sstart","there's",6
"34","sstart","oh","ccomma",6
"35","sstart","sstart","we",6
"36","sokka","pperiod","eend",6
"37","sstart","sstart","don't",6
"38","qquestion","eexclamation","eend",6
"39","sstart","sstart","do",5
"40","sstart","sstart","not",5
"41","out","of","here",5
"42","sstart","yeah","pperiod",5
"43","sstart","sstart","yes",5
"44","sstart","sstart","wait",5
"45","sstart","sstart","good",5
"46","you","pperiod","eend",5
"47","pperiod","you've","got",5
"48","ccomma","katara","pperiod",5
"49","ccomma","sokka","pperiod",5
"50","sstart","sstart","maybe",5
"51","the","fire","lord",5
"52","get","out","of",4
"53","pperiod","i","can",4
"54","sstart","yes","ccomma",4
"55","sstart","sstart","but",4
"56","i","want","to",4
"57","something","pperiod","eend",4
"58","go","pperiod","eend",4
"59","pperiod","you","know",4
"60","them","pperiod","eend",4
"61","sstart","hey","eexclamation",4
"62","sstart","sstart","he's",4
"63","sstart","i","know",4
"64","sstart","sstart","is",4
"65","him","pperiod","eend",4
"66","too","pperiod","eend",4
"67","you've","got","to",4
"68","this","pperiod","eend",4
"69","much","pperiod","eend",4
"70","sstart","sstart","actually",4
"71","sstart","actually","ccomma",4
"72","ccomma","i","don't",4
"73","sstart","sstart","i'll",4
"74","in","pperiod","eend",4
"75","be","able","to",4
"76","sstart","i","think",4
"77","you","know","what",4
"78","sstart","sstart","why",4
"79","the","truth","pperiod",4
"80","out","pperiod","eend",4
"81","me","eexclamation","eend",4
"82","pperiod","i","was",4
"83","go","qquestion","eend",3
"84","what","are","you",3
"85","ccomma","twinkle","toes",3
"86","sstart","how","did",3
"87","sstart","i","thought",3
"88","my","feet","pperiod",3
"89","ccomma","and","i",3
"90","i","can","see",3
"91","sstart","sstart","my",3
"92","don't","understand","pperiod",3
"93","sstart","sstart","they're",3
"94","what","to","do",3
"95","sstart","sstart","let",3
"96","again","pperiod","eend",3
"97","sstart","wait","pperiod",3
"98","ccomma","i","know",3
"99","you","think","i",3
"100","me","pperiod","i",3
"101","pperiod","i","love",3
"102","pperiod","i","know",3
"103","ccomma","but","you",3
"104","the","world","pperiod",3
"105","world","pperiod","eend",3
"106","my","own","weight",3
"107","sstart","there's","something",3
"108","us","eexclamation","eend",3
"109","sstart","sstart","look",3
"110","pperiod","i","didn't",3
"111","sstart","what","qquestion",3
"112","sstart","sstart","that",3
"113","ccomma","i","didn't",3
