"","w1","w2","w3","N"
"1","sstart","sstart","i",86
"2","sstart","sstart","what",37
"3","sstart","sstart","you",36
"4","sstart","sstart","i'm",30
"5","sstart","sstart","no",28
"6","sstart","sstart","uncle",25
"7","you","pperiod","eend",22
"8","sstart","sstart","the",21
"9","what","are","you",18
"10","sstart","sstart","it's",17
"11","sstart","sstart","well",17
"12","sstart","sstart","why",15
"13","here","pperiod","eend",15
"14","sstart","sstart","you're",14
"15","sstart","sstart","we",14
"16","sstart","sstart","so",14
"17","sstart","sstart","it",13
"18","the","avatar","pperiod",13
"19","sstart","well","ccomma",13
"20","me","pperiod","eend",13
"21","sstart","sstart","yeah",13
"22","sstart","i","know",12
"23","it","pperiod","eend",12
"24","sstart","sstart","how",12
"25","uncle","pperiod","eend",12
"26","sstart","sstart","but",12
"27","sstart","what","are",12
"28","sstart","no","ccomma",12
"29","the","fire","nation",11
"30","sstart","uncle","ccomma",11
"31","sstart","sstart","that's",11
"32","ccomma","uncle","pperiod",11
"33","sstart","i","don't",10
"34","sstart","sstart","if",10
"35","sstart","sstart","my",10
"36","sstart","sstart","hey",10
"37","sstart","what","qquestion",9
"38","him","pperiod","eend",9
"39","sstart","sstart","that",8
"40","i","need","to",8
"41","pperiod","i","don't",8
"42","i","don't","want",8
"43","sstart","sstart","yes",8
"44","i'm","going","to",8
"45","sstart","sstart","what's",8
"46","pperiod","but","i",8
"47","are","you","doing",8
"48","sstart","sstart","where",7
"49","sstart","sstart","this",7
"50","sstart","sstart","don't",7
"51","sstart","no","pperiod",7
"52","you","qquestion","eend",7
"53","back","pperiod","eend",7
"54","we","need","to",7
"55","sstart","sstart","i'll",7
"56","to","you","pperiod",7
"57","sstart","sstart","we're",7
"58","sstart","hey","ccomma",7
"59","pperiod","and","i",7
"60","the","world","pperiod",7
"61","pperiod","i","know",7
"62","sstart","yeah","ccomma",7
"63","him","qquestion","eend",6
"64","uncle","ccomma","i",6
"65","don't","want","to",6
"66","avatar","pperiod","eend",6
"67","pperiod","my","father",6
"68","sstart","i'm","sorry",6
"69","sstart","i","didn't",6
"70","this","pperiod","eend",6
"71","sstart","sstart","there's",6
"72","sstart","i","can't",6
"73","sstart","sstart","stop",6
"74","to","me","pperiod",6
"75","ccomma","but","i",6
"76","i","have","to",6
"77","ba","sing","se",6
"78","what","qquestion","eend",6
"79","i","don't","know",6
"80","i","can't","believe",6
"81","sstart","sstart","because",5
"82","the","avatar","is",5
"83","the","avatar","qquestion",5
"84","avatar","qquestion","eend",5
"85","sstart","sstart","i've",5
"86","fire","nation","pperiod",5
"87","pperiod","i'm","going",5
"88","that","qquestion","eend",5
"89","pperiod","it's","like",5
"90","again","pperiod","eend",5
"91","uncle","qquestion","eend",5
"92","qquestion","eexclamation","eend",5
"93","find","him","pperiod",5
"94","sstart","uncle","eexclamation",5
"95","sstart","sstart","now",5
"96","it","eexclamation","eend",5
"97","is","pperiod","eend",5
"98","uncle","eexclamation","eend",5
"99","sstart","sstart","let",5
"100","sstart","sstart","thank",5
"101","sstart","thank","you",5
"102","ccomma","and","i",5
"103","pperiod","i","want",5
"104","i","want","my",5
"105","here","qquestion","eend",5
"106","sstart","you","don't",5
"107","talking","about","qquestion",5
"108","pperiod","my","uncle",5
"109","in","ba","sing",5
"110","for","you","pperiod",5
"111","i","know","you",5
"112","what","do","you",5
"113","mai","pperiod","eend",5
"114","anymore","pperiod","eend",5
"115","you","need","to",5
"116","sstart","sstart","and",5
"117","ccomma","i","can't",5
"118","has","to","be",4
"119","i","don't","need",4
"120","over","pperiod","eend",4
"121","where","are","you",4
"122","my","father","pperiod",4
"123","that","pperiod","eend",4
"124","and","i","don't",4
"125","way","pperiod","eend",4
"126","sstart","sstart","uh",4
"127","ship","pperiod","eend",4
"128","go","pperiod","eend",4
"129","the","rest","of",4
"130","of","the","world",4
"131","a","long","time",4
"132","sstart","sstart","maybe",4
"133","ccomma","uncle","qquestion",4
"134","you","have","to",4
"135","sstart","sstart","he",4
"136","time","pperiod","eend",4
"137","sstart","uncle","qquestion",4
"138","why","don't","you",4
"139","sstart","sstart","there",4
"140","sstart","sstart","he's",4
"141","i'm","sorry","ccomma",4
"142","me","eexclamation","eend",4
"143","ccomma","i","need",4
"144","how","can","you",4
"145","sstart","sstart","your",4
"146","sstart","if","you",4
"147","sstart","why","are",4
"148","now","pperiod","eend",4
"149","you","don't","know",4
"150","pperiod","this","is",4
"151","sstart","yeah","pperiod",4
"152","i","know","pperiod",4
"153","know","pperiod","eend",4
"154","ccomma","i","thought",4
"155","no","pperiod","eend",4
"156","on","pperiod","eend",4
"157","wrong","pperiod","eend",4
"158","i","want","you",4
"159","want","you","to",4
"160","sstart","sstart","get",4
